CustomerID,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Hour,Is_UK,Cancellation_Frequency,Cancellation_Rate,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend
12384,28,3,117,406.16,135.3866667,25,3.444444444,2,11,0,1,0.333333333,135.3866667,133.7980494,-0.055
12386,337,2,354,401.9,200.95,10,3.222222222,2,9,0,0,0,200.95,81.95367594,-115.9
12388,15,6,1462,2780.66,463.4433333,57,3.141414141,3,11,0,0,0,463.4433333,327.1524836,59.20857143
12390,79,1,350,504.84,504.84,31,0,2,9,0,0,0,504.84,0,0
12391,21,1,293,439.66,439.66,92,0,4,12,0,0,0,439.66,0,0
12393,72,4,816,1582.6,395.65,47,4.126984127,2,9,0,0,0,527.5333333,109.0752187,-59
12394,63,2,808,1080.48,540.24,25,6.416666667,4,14,0,0,0,540.24,267.5126375,378.32
12395,15,15,2092,2662.28,177.4853333,90,2.438356164,4,16,0,3,0.2,295.8088889,219.91505,18.17516667
12397,35,2,1250,2214.9,1107.45,109,0.81300813,2,14,0,0,0,1107.45,3.337544007,-4.72
12398,45,1,1389,1435.66,1435.66,84,0,1,10,0,0,0,1435.66,0,0
12399,119,4,1173,1033.65,258.4125,46,2.62962963,1,10,0,0,0,258.4125,143.6191522,-57.111
12401,303,1,10,69.3,69.3,4,0,2,13,0,0,0,69.3,0,0
12402,323,1,92,195.6,195.6,10,0,3,13,0,0,0,195.6,0,0
12403,49,1,94,391.7,391.7,4,0,4,10,0,0,0,391.7,0,0
12405,148,1,849,1390.39,1390.39,53,0,3,8,0,0,0,1390.39,0,0
12407,49,5,1403,1507.12,301.424,56,3.028169014,2,9,0,0,0,376.78,277.2746831,71.212
12408,32,8,1382,2587.57,323.44625,80,2.130841121,4,10,0,3,0.375,517.514,314.3096027,44.543
12410,301,3,205,521.08,173.6933333,25,0.269230769,4,10,0,1,0.333333333,521.08,0,0
12412,74,3,824,1142.88,380.96,42,1.666666667,0,13,0,0,0,380.96,88.39763119,-86.18
12413,66,4,281,676.15,169.0375,28,7.527777778,3,16,0,1,0.25,225.3833333,170.7237706,-119.55
12414,217,3,297,442.41,147.47,15,6.642857143,2,14,0,0,0,147.47,48.29698438,6.045
12417,3,12,1514,3155.8,262.9833333,157,1.882978723,3,14,0,3,0.25,350.6444444,217.8842825,0.3115
12418,112,1,407,668.58,668.58,34,0,4,11,0,0,0,668.58,0,0
12420,63,1,345,600.39,600.39,29,0,4,8,0,0,0,600.39,0,0
12421,15,4,478,639.04,159.76,31,7.6,6,13,0,0,0,159.76,24.61234514,5.55
12422,95,3,367,683.56,227.8533333,38,6.189189189,4,9,0,0,0,227.8533333,75.39590528,-45.4
12423,0,9,1312,1624.11,180.4566667,96,3.017094017,0,10,0,1,0.111111111,180.4566667,103.4306682,-17.3645
12424,162,2,740,1760.96,880.48,30,0,3,12,0,0,0,1760.96,0,0
12425,78,1,496,777.2,777.2,36,0,3,17,0,0,0,777.2,0,0
12426,194,1,254,510.73,510.73,29,0,6,12,0,0,0,510.73,0,0
12427,11,5,229,582.37,116.474,25,11.61290323,0,15,0,2,0.4,194.1233333,51.68796217,-24.655
12429,9,4,1538,3388.4,847.1,81,3.827956989,0,12,0,0,0,847.1,325.3753529,-11.452
12430,43,1,116,216.4,216.4,10,0,3,15,0,0,0,216.4,0,0
12431,35,18,2839,6243.89,346.8827778,162,1.438297872,3,14,0,3,0.166666667,693.7655556,351.5623868,12.73716667
12434,84,4,373,765.19,191.2975,49,5.20754717,4,12,0,2,0.5,191.2975,262.5452615,134.347
12436,99,1,209,429.01,429.01,15,0,3,12,0,0,0,429.01,0,0
12441,366,1,120,155.55,155.55,10,0,2,10,0,0,0,155.55,0,0
12442,3,1,181,144.06,144.06,11,0,1,14,0,0,0,144.06,0,0
12444,21,5,1130,4085.46,817.092,137,0.877192982,1,14,0,0,0,817.092,595.3342473,-226.518
12445,22,1,60,77.4,77.4,3,0,3,18,0,0,0,77.4,0,0
12446,57,1,351,1002.31,1002.31,57,0,3,12,0,0,0,1002.31,0,0
12447,243,1,187,431.49,431.49,25,0,6,13,0,0,0,431.49,0,0
12448,44,1,240,365.45,365.45,21,0,2,13,0,0,0,365.45,0,0
12449,22,4,1523,3596.29,899.0725,117,0.887096774,3,9,0,0,0,899.0725,233.0676729,157.809
12450,156,2,128,197.88,98.94,7,2.428571429,6,14,0,0,0,98.94,4.157787873,-5.88
12452,16,1,181,348.57,348.57,20,0,2,8,0,0,0,348.57,0,0
12453,134,1,473,707.09,707.09,43,0,3,14,0,0,0,707.09,0,0
12454,53,2,0,5.68434E-14,2.84217E-14,15,0.103448276,0,15,0,1,0.5,5.68434E-14,0,0
12455,73,5,2084,2339.86,467.972,84,2.654761905,2,9,0,0,0,467.972,685.4232305,-302.864
12456,44,4,1601,2553.89,638.4725,104,1.68,2,15,0,1,0.25,638.4725,462.7135114,-114.597
12457,58,11,686,1597.78,145.2527273,52,2.873015873,2,15,0,5,0.454545455,399.445,486.684255,-114.102
12458,71,2,502,787.4,393.7,34,6.085714286,0,10,0,0,0,393.7,44.94370701,63.56
12461,154,1,282,626.88,626.88,34,0,4,10,0,0,0,626.88,0,0
12462,2,4,505,872.01,218.0025,50,4.362318841,2,14,0,2,0.5,290.67,312.4107618,-309.045
12463,46,6,751,1165.63,194.2716667,65,2.37804878,1,13,0,2,0.333333333,291.4075,25.19129661,-1.813
12464,10,8,95,957.05,119.63125,5,14.23809524,3,13,0,0,0,191.41,124.1561537,9.94
12465,7,3,471,673.89,224.63,45,3.375,3,13,0,1,0.333333333,224.63,213.4727446,-209.62
12468,143,3,360,652.04,217.3466667,35,4.675675676,6,11,0,1,0.333333333,217.3466667,240.9011209,-95.045
12473,53,4,2323,2545.27,636.3175,138,0.831325301,0,11,0,1,0.25,848.4233333,629.7361111,511.375
12475,53,1,532,669.38,669.38,35,0,0,10,0,0,0,669.38,0,0
12478,3,1,233,545.99,545.99,35,0,1,9,0,0,0,545.99,0,0
12480,28,4,1685,2885.63,721.4075,128,2.067114094,4,14,0,0,0,721.4075,206.0346763,60.395
12483,17,11,1084,1873.13,170.2845455,45,4.535211268,1,11,0,3,0.272727273,267.59,100.6413672,1.488571429
12488,9,3,526,1244.66,414.8866667,45,1.245283019,2,10,0,0,0,414.8866667,178.0431426,-38.09
12489,336,1,103,298.93,298.93,14,0,4,13,0,0,0,298.93,0,0
12490,5,10,3033,4859.93,485.993,130,1.384615385,2,13,0,0,0,607.49125,345.2084885,44.76988095
12491,38,1,258,424.4,424.4,24,0,1,12,0,0,0,424.4,0,0
12492,63,2,190,227.21,113.605,18,2.470588235,4,15,0,0,0,113.605,7.375123728,10.43
12493,165,3,203,362.79,120.93,18,1.6,3,14,0,1,0.333333333,181.395,2.609224023,3.69
12494,9,13,682,995.35,76.56538462,62,4.684210526,3,13,0,6,0.461538462,142.1928571,127.4203429,17.60178571
12497,81,1,1231,953.1,953.1,13,0,0,12,0,0,0,953.1,0,0
12498,21,3,156,349.7,116.5666667,20,1.8,3,9,0,0,0,174.85,51.47737367,-72.8
12500,23,12,2660,4023.27,335.2725,32,5.849056604,4,10,0,2,0.166666667,574.7528571,554.800964,126.4353571
12502,95,5,794,2995.87,599.174,101,1.517730496,3,11,0,0,0,599.174,183.3638668,84.027
12504,18,4,48,60,15,5,0.923076923,0,16,0,2,0.5,60,0,0
12506,232,1,23,73.5,73.5,23,0,3,8,0,0,0,73.5,0,0
12507,134,4,874,1006.06,251.515,18,8.631578947,0,9,0,1,0.25,503.03,199.2202645,281.74
12508,26,2,271,397.88,198.94,57,0.044776119,3,16,0,0,0,397.88,0,0
12509,284,1,54,158.5,158.5,6,0,0,14,0,0,0,158.5,0,0
12510,142,2,347,814.57,407.285,28,6.1,1,14,0,0,0,407.285,268.3682367,-379.53
12512,66,2,96,132.18,66.09,31,0,1,14,0,0,0,132.18,0,0
12513,84,2,453,532.79,266.395,34,0.823529412,4,10,0,1,0.5,266.395,412.8018678,-583.79
12514,267,1,440,1017.68,1017.68,51,0,3,16,0,0,0,1017.68,0,0
12515,353,1,128,278.7,278.7,15,0,1,15,0,0,0,278.7,0,0
12516,77,2,868,1186.06,593.03,19,4.47826087,4,9,0,0,0,593.03,90.26925169,127.66
12517,28,5,1328,2263.65,452.73,231,0.584837545,3,15,0,1,0.2,565.9125,177.5009501,-119.665
12518,0,5,1306,1840.89,368.178,83,0.93220339,4,10,0,0,0,368.178,80.3259069,-0.932
12519,63,1,172,276.84,276.84,16,0,4,9,0,0,0,276.84,0,0
12520,79,6,1414,2294.51,382.4183333,120,1.302013423,4,11,0,1,0.166666667,573.6275,332.3462157,-171.671
12521,142,1,306,545.68,545.68,37,0,2,10,0,0,0,545.68,0,0
12522,39,2,192,156.72,78.36,10,1.333333333,0,14,0,0,0,156.72,0,0
12523,1,13,856,1655.57,127.3515385,83,3.142857143,2,9,0,2,0.153846154,165.557,109.1328642,6.450848485
12524,9,8,3669,3945.72,493.215,112,2.4,3,13,0,0,0,563.6742857,404.1130053,28.03892857
12526,0,3,624,1172.66,390.8866667,63,1.402985075,0,9,0,0,0,390.8866667,131.0501741,-121.61
12527,81,3,233,330.71,110.2366667,17,15.25,1,12,0,0,0,110.2366667,44.46001837,-25.365
12528,9,8,734,1634.28,204.285,49,3.443181818,0,9,0,2,0.25,272.38,93.74222485,-18.70342857
12530,59,5,891,1461.63,292.326,50,4.396825397,1,10,0,1,0.2,365.4075,33.5310437,17.409
12531,14,1,45,125.22,125.22,17,0,4,11,0,0,0,125.22,0,0
12532,30,1,151,313.83,313.83,15,0,2,13,0,0,0,313.83,0,0
12534,130,1,645,981.18,981.18,62,0,0,10,0,0,0,981.18,0,0
12535,91,2,219,716.35,358.175,28,2.878787879,0,12,0,0,0,358.175,18.77368504,-26.55
12538,29,1,191,363.95,363.95,21,0,3,17,0,0,0,363.95,0,0
12541,29,3,675,841.18,280.3933333,45,5.229166667,3,10,0,0,0,280.3933333,82.7228054,38.32
12544,29,2,130,299.7,149.85,18,0.388888889,3,16,0,1,0.5,299.7,0,0
12545,75,2,517,832.39,416.195,41,3.914893617,4,12,0,0,0,416.195,180.9556964,-255.91
12546,46,3,612,1001.5,333.8333333,58,0.462686567,4,9,0,1,0.333333333,500.75,248.1237695,-350.9
12547,197,2,132,151.8,75.9,6,16.6,4,12,0,0,0,75.9,78.48885271,-111
12548,166,1,48,67.2,67.2,4,0,6,15,0,0,0,67.2,0,0
12550,79,1,564,824.83,824.83,56,0,2,14,0,0,0,824.83,0,0
12551,357,1,100,168,168,10,0,4,11,0,0,0,168,0,0
12552,39,1,85,317.82,317.82,19,0,0,12,0,0,0,317.82,0,0
12553,8,14,1901,3238.25,231.3035714,94,1.725806452,4,10,0,4,0.285714286,359.8055556,185.0969455,-1.367333333
12556,50,2,355,599.56,299.78,100,0.855932203,0,13,0,0,0,299.78,12.68549565,-17.94
12558,1,2,0,1.06581E-14,5.32907E-15,11,0.285714286,3,10,0,1,0.5,1.06581E-14,0,0
12559,310,3,279,500.21,166.7366667,20,0.45,0,10,0,1,0.333333333,250.105,282.8497835,-400.01
12560,5,3,1066,1885.39,628.4633333,91,1.277777778,1,15,0,1,0.333333333,628.4633333,662.4693225,-333.305
12561,302,1,177,238.85,238.85,16,0,3,11,0,0,0,238.85,0,0
12562,8,7,1757,3385.74,483.6771429,98,1.1875,3,8,0,0,0,483.6771429,99.9723473,23.4675
12564,261,1,130,402.9,402.9,20,0,2,14,0,0,0,402.9,0,0
12565,281,2,75,131.17,65.585,9,0.777777778,3,10,0,1,0.5,65.585,113.6108465,-160.67
12566,72,2,261,292.7,146.35,18,0.777777778,2,14,0,1,0.5,292.7,0,0
12569,2,33,1741,3128.99,94.81787879,91,1.592356688,3,14,0,1,0.03030303,347.6655556,163.0690486,18.50566667
12571,39,2,523,519.61,259.805,31,2.484848485,0,10,0,0,0,259.805,16.19981636,22.91
12572,8,3,444,896.72,298.9066667,52,0.728813559,2,8,0,1,0.333333333,448.36,20.7606551,-29.36
12573,227,1,84,160.54,160.54,26,0,1,15,0,0,0,160.54,0,0
12574,315,1,59,182.45,182.45,10,0,4,9,0,0,0,182.45,0,0
12576,35,6,964,1306.98,217.83,72,3.056818182,4,10,0,1,0.166666667,261.396,81.32888374,34.576
12577,35,4,462,560.25,140.0625,136,2.234482759,4,13,0,1,0.25,280.125,119.1262794,168.47
12579,73,2,276,374.72,187.36,28,0.178571429,3,17,0,1,0.5,374.72,0,0
12580,246,1,236,379.7,379.7,23,0,3,10,0,0,0,379.7,0,0
12581,39,1,160,179.71,179.71,14,0,0,8,0,0,0,179.71,0,0
12582,238,2,296,351.36,175.68,20,2.631578947,3,11,0,0,0,175.68,14.87752668,21.04
12586,17,2,77,179.94,89.97,12,31.90909091,1,16,0,1,0.5,89.97,151.2784248,213.94
12587,7,1,50,104,104,3,0,4,12,0,0,0,104,0,0
12588,39,1,52,174.9,174.9,9,0,0,15,0,0,0,174.9,0,0
12589,28,2,302,574.68,287.34,28,3.625,4,10,0,0,0,287.34,245.8468857,347.68
12591,317,1,225,368.85,368.85,25,0,2,14,0,0,0,368.85,0,0
12592,92,2,288,401.6,200.8,10,8.066666667,1,13,0,0,0,200.8,18.38477631,-26
12593,108,3,204,382.1,127.3666667,13,5.789473684,1,9,0,0,0,191.05,12.65721138,-17.9
12594,37,9,1772,3208.22,356.4688889,49,2.522123894,0,12,0,0,0,356.4688889,257.4254518,22.66166667
12596,51,2,468,450.27,225.135,24,7.958333333,0,13,0,0,0,225.135,15.8179787,22.37
12597,19,5,2165,3067.13,613.426,183,1.19138756,6,13,0,1,0.2,766.7825,797.5366717,6.095
12598,9,8,1928,2786.68,348.335,83,2.165354331,4,12,0,1,0.125,464.4466667,365.4300666,86.304
12599,29,7,948,888.58,126.94,31,5.092592593,1,13,0,0,0,148.0966667,65.35278959,-13.53085714
12600,28,10,758,2311.04,231.104,31,6.471698113,4,10,0,0,0,256.7822222,79.07218328,5.448833333
12601,189,6,239,479.56,79.92666667,20,6.217391304,3,10,0,1,0.166666667,95.912,29.1421468,-13.232
12602,58,1,162,153.12,153.12,12,0,2,11,0,0,0,153.12,0,0
12604,79,2,200,236.18,118.09,14,13,2,12,0,0,0,118.09,59.97679718,-84.82
12607,58,2,0,3.55271E-15,1.77636E-15,101,0.009950249,0,16,0,1,0.5,3.55271E-15,0,0
12609,78,3,639,964.85,321.6166667,56,4.285714286,0,15,0,0,0,321.6166667,89.68371777,19.095
12610,22,6,1018,1705.99,284.3316667,84,0.981132075,4,13,0,2,0.333333333,568.6633333,471.6555301,-457.25
12611,52,1,846,1193.32,1193.32,65,0,1,13,0,0,0,1193.32,0,0
12612,57,2,249,607.59,303.795,18,0.894736842,0,15,0,1,0.5,303.795,515.120219,-728.49
12613,31,5,1582,2966.98,593.396,123,1.462025316,3,14,0,1,0.2,741.745,775.5474829,-145.618
12614,277,1,76,315.6,315.6,20,0,0,10,0,0,0,315.6,0,0
12615,2,4,1365,2093.19,523.2975,81,1.66,3,10,0,0,0,523.2975,97.06097924,-50.137
12616,85,5,269,585.25,117.05,24,6.424242424,0,15,0,3,0.6,195.0833333,199.9736566,95.25
12617,29,1,210,352.98,352.98,39,0,3,14,0,0,0,352.98,0,0
12618,21,1,95,137.31,137.31,10,0,4,11,0,0,0,137.31,0,0
12619,16,11,3337,2908.81,264.4372727,48,2.788235294,3,14,0,3,0.272727273,484.8016667,205.67855,90.85685714
12620,14,3,1179,1303.41,434.47,88,2.111111111,4,10,0,0,0,434.47,110.3585443,-98.785
12622,232,1,68,162.1,162.1,10,0,3,16,0,0,0,162.1,0,0
12623,276,1,189,269.1,269.1,17,0,1,13,0,0,0,269.1,0,0
12624,106,2,351,569.13,284.565,35,2.028571429,2,12,0,0,0,284.565,29.16815472,41.25
12627,10,6,2730,4082.53,680.4216667,161,0.582959641,3,15,0,0,0,816.506,236.1874092,-32.291
12628,4,4,442,715.61,178.9025,33,1.538461538,3,9,0,1,0.25,238.5366667,66.82943388,-59.195
12630,9,2,542,1030.88,515.44,59,0.557377049,3,10,0,0,0,515.44,93.83306986,-132.7
12631,57,1,232,480.5,480.5,30,0,3,13,0,0,0,480.5,0,0
12633,58,5,1136,1906.63,381.326,72,2.336734694,4,10,0,1,0.2,381.326,375.6223068,-184.071
12635,89,2,1162,1509.18,754.59,95,0.663265306,6,11,0,0,0,754.59,176.7059846,249.9
12638,33,1,573,511.69,511.69,38,0,6,13,0,0,0,511.69,0,0
12639,238,1,198,366.1,366.1,21,0,4,12,0,0,0,366.1,0,0
12640,23,3,301,994.58,331.5266667,46,1.183673469,0,12,0,0,0,497.29,250.7400646,-354.6
12641,115,1,71,145.9,145.9,9,0,1,13,0,0,0,145.9,0,0
12642,25,3,546,905.26,301.7533333,38,1.906976744,2,9,0,0,0,301.7533333,40.08007028,-5.8
12643,128,6,1788,3041.64,506.94,10,12,1,12,0,0,0,760.41,246.7022391,83.784
12644,129,1,325,477.91,477.91,31,0,1,10,0,0,0,477.91,0,0
12645,33,5,1064,1611.38,322.276,57,4.101449275,0,12,0,1,0.2,322.276,196.4153845,-29.536
12646,4,2,897,1346.97,673.485,43,1.022727273,4,12,0,0,0,673.485,82.3143004,-116.41
12647,22,13,1387,3093.92,237.9938462,77,3.043859649,6,12,0,1,0.076923077,386.74,237.5749336,-57.60809524
12648,154,1,159,300.05,300.05,20,0,4,11,0,0,0,300.05,0,0
12649,107,4,571,549.71,137.4275,29,8.6,2,14,0,1,0.25,183.2366667,184.012054,125.155
12650,3,1,250,242.44,242.44,19,0,1,16,0,0,0,242.44,0,0
12651,334,1,78,114,114,9,0,6,12,0,0,0,114,0,0
12652,322,2,495,788.53,394.265,47,0.183673469,2,15,0,1,0.5,788.53,0,0
12654,10,5,260,529.98,105.996,30,8.636363636,3,10,0,0,0,176.66,44.71883608,39.815
12656,17,8,1684,3550.72,443.84,88,1.814516129,2,11,0,3,0.375,710.144,283.9182104,-21.705
12657,11,5,646,1008.06,201.612,34,1.31372549,3,11,0,1,0.2,336.02,262.0459662,-63.66
12658,18,1,317,632.05,632.05,35,0,0,10,0,0,0,632.05,0,0
12659,29,1,104,73.68,73.68,4,0,3,11,0,0,0,73.68,0,0
12660,11,1,126,227.1,227.1,12,0,0,13,0,0,0,227.1,0,0
12662,0,12,2023,3511.08,292.59,128,1.687782805,1,13,0,1,0.083333333,351.108,95.7615209,8.827030303
12664,8,9,1188,4391.88,487.9866667,9,11.62962963,1,12,0,0,0,627.4114286,217.8953883,51.00571429
12665,324,2,35,43.75,21.875,2,3.5,2,8,0,1,0.5,43.75,0,0
12667,58,1,391,460.13,460.13,32,0,2,17,0,0,0,460.13,0,0
12668,7,6,1560,3113.18,518.8633333,114,2.134969325,0,13,0,2,0.333333333,518.8633333,491.9317709,-107.4902857
12669,150,2,1104,1427.73,713.865,96,1.092783505,0,10,0,0,0,713.865,444.6782415,-628.87
12670,10,6,1377,2734.15,455.6916667,57,2.522727273,3,9,0,1,0.166666667,683.5375,386.3682662,219.063
12672,329,1,78,225.9,225.9,10,0,4,9,0,0,0,225.9,0,0
12673,5,2,349,574.52,287.26,41,8.025,0,11,0,0,0,287.26,93.847212,132.72
12674,11,7,1096,1796.26,256.6085714,51,2.305882353,1,9,0,3,0.428571429,449.065,103.2264855,-2.63
12676,24,6,664,1091.39,181.8983333,32,7.552631579,1,15,0,0,0,181.8983333,143.3163134,-49.43742857
12679,52,9,521,896.67,99.63,44,4.529411765,1,12,0,5,0.555555556,224.1675,307.2007797,-187.677
12680,0,4,439,790.81,197.7025,32,2.354166667,3,12,0,0,0,263.6033333,13.27582891,-13.165
12684,7,6,1973,2073.63,345.605,59,2.12371134,1,10,0,0,0,414.726,254.7113252,-129.279
12685,28,6,1507,2575.08,429.18,116,0.433333333,3,10,0,0,0,858.36,706.7221199,-653.95
12686,371,1,106,71.14,71.14,6,0,4,9,0,0,0,71.14,0,0
12689,25,2,622,1139.61,569.805,56,1.47826087,0,8,0,0,0,569.805,134.0320904,189.55
12690,205,1,103,335.01,335.01,15,0,2,9,0,0,0,335.01,0,0
12691,28,5,388,927.8,185.56,20,12.65384615,0,14,0,0,0,185.56,59.3305402,8.77
12693,120,6,242,686.96,114.4933333,34,5.527777778,3,8,0,2,0.333333333,171.74,30.9962772,16.344
12694,70,2,503,761.67,380.835,31,3.323529412,3,17,0,0,0,380.835,6.597306268,-9.33
12695,7,4,220,582.1,145.525,23,7.807692308,2,12,0,0,0,145.525,75.17247391,-9.4
12697,21,5,494,739.02,147.804,36,3.794871795,3,15,0,2,0.4,184.755,141.4024376,-67.978
12701,79,2,674,725.71,362.855,49,3.26,2,10,0,0,0,362.855,87.36304282,123.55
12702,19,1,52,201,201,11,0,6,10,0,0,0,201,0,0
12703,64,2,160,256.7,128.35,20,0.35,3,17,0,1,0.5,128.35,194.0301008,-274.4
12704,7,8,991,1740.84,217.605,63,2.025,3,10,0,0,0,348.168,206.1349523,-35.735
12707,291,1,256,603.42,603.42,33,0,0,8,0,0,0,603.42,0,0
12708,29,16,1255,2346.32,146.645,85,2.079754601,0,10,0,6,0.375,234.632,107.2798583,-0.581212121
12710,96,4,842,1004.57,251.1425,74,1.4,6,14,0,1,0.25,251.1425,301.9759695,-90.105
12712,22,17,1019,3791.63,223.0370588,58,2.748031496,4,11,0,4,0.235294118,379.163,196.2819758,-7.286484848
12713,0,1,505,794.55,794.55,37,0,4,12,0,0,0,794.55,0,0
12715,106,1,190,263.36,263.36,19,0,3,15,0,0,0,263.36,0,0
12716,3,2,703,963.49,481.745,59,1.96969697,4,13,0,0,0,481.745,201.037529,-284.31
12717,151,2,502,830.98,415.49,48,1.807692308,4,10,0,0,0,415.49,133.2896283,-188.5
12718,71,1,201,202.25,202.25,18,0,3,16,0,0,0,202.25,0,0
12719,5,3,357,536.1,178.7,33,1.538461538,6,13,0,1,0.333333333,268.05,81.03443712,114.6
12721,31,7,1939,2358.98,336.9971429,133,2.127388535,3,12,0,1,0.142857143,393.1633333,124.973984,44.93942857
12722,85,6,559,886.33,147.7216667,49,1.181818182,2,8,0,2,0.333333333,295.4433333,297.7992177,-79.82
12723,3,5,433,707.07,141.414,52,0.925373134,2,15,0,0,0,235.69,154.7251799,-120.065
12724,5,4,439,923.41,230.8525,46,6.8125,0,12,0,0,0,230.8525,175.3512934,54.137
12725,371,1,162,371.8,371.8,23,0,4,15,0,0,0,371.8,0,0
12726,28,7,3132,2411.1,344.4428571,56,2.836206897,4,13,0,0,0,344.4428571,186.3894838,60.21571429
12727,10,8,2056,3425.7,428.2125,108,2.348484848,2,11,0,1,0.125,570.95,166.5455329,-4.618857143
12728,71,4,413,728.33,182.0825,37,6.365853659,1,13,0,0,0,182.0825,38.5826631,-10.123
12729,113,1,231,417.01,417.01,25,0,3,11,0,0,0,417.01,0,0
12732,179,1,110,218.26,218.26,11,0,0,11,0,0,0,218.26,0,0
12733,234,1,137,383.95,383.95,22,0,1,16,0,0,0,383.95,0,0
12734,352,1,88,110.4,110.4,4,0,2,12,0,0,0,110.4,0,0
12735,315,2,363,689.57,344.785,37,0.55,3,14,0,0,0,689.57,0,0
12736,332,1,168,144,144,3,0,1,7,0,0,0,144,0,0
12738,372,1,147,137.35,137.35,10,0,3,18,0,0,0,137.35,0,0
12739,99,1,485,975.54,975.54,37,0,3,17,0,0,0,975.54,0,0
12740,63,1,342,427.6,427.6,27,0,4,10,0,0,0,427.6,0,0
12743,134,2,315,540.13,270.065,114,0,3,16,0,0,0,540.13,0,0
12747,2,11,1275,4196.01,381.4554545,42,3.598039216,1,14,1,0,0,466.2233333,195.1669597,-13.04033333
12749,3,8,1421,3818.2,477.275,159,0.917030568,0,12,1,3,0.375,954.55,543.5849134,-128.498
12750,128,1,137,275.88,275.88,15,0,2,9,0,0,0,275.88,0,0
12756,86,1,144,112.08,112.08,4,0,2,9,0,0,0,112.08,0,0
12757,15,10,2375,4161.75,416.175,235,0.547486034,3,14,0,1,0.1,693.625,645.9864708,119.1374286
12759,52,3,894,1411.44,470.48,80,2.450549451,1,9,0,0,0,470.48,106.0026264,-5.44
12763,138,2,316,494.08,247.04,16,13.58823529,6,15,0,0,0,247.04,103.2941586,-146.08
12769,238,1,356,1143.6,1143.6,32,0,4,10,0,0,0,1143.6,0,0
12770,210,1,743,1351.45,1351.45,12,0,4,9,0,0,0,1351.45,0,0
12772,59,1,551,752.47,752.47,54,0,1,9,0,0,0,752.47,0,0
12775,17,6,846,1246.24,207.7066667,46,4.819672131,1,7,0,1,0.166666667,249.248,96.18909382,29.751
12778,19,6,817,693.23,115.5383333,39,6.813953488,4,15,0,0,0,138.646,66.60916363,-11.713
12779,21,12,1996,3868.7,322.3916667,88,2.215189873,2,11,0,4,0.333333333,483.5875,330.806873,39.43857143
12781,21,4,592,671.72,167.93,24,9.740740741,0,8,0,2,0.5,167.93,289.7678143,-152.532
